iter	recomb_rate	mut_rate	recomb_type	recomb_node	ARG_length_1	ARG_length_2	ARG_length_3	ARG_length_4	root_height_change	bp	bp_pos_deviation	rank_stat	info_sites_global	confounding_info_sites	consistent_info_sites	weighted_consistent_info_sites	rf_dist	no_neu_recurr_mut	no_adv_recurr_mut	info_sites_imbalance
372	1.0	50.0	[3]	set()	4.160231152481691	3.5003303020090506	3.570239901644444	0.0	0	[376.2095959391445]	0.6621780107687584	0	0	0	0	0	0.047	0.125	0	0
434	1.0	50.0	[2, 3, 3, 3]	set()	2.617079847128347	2.049144882035282	2.1085830955510807	0.0	0	[58.86126954096271, 59.79633218148184, 525.4877952393144, 937.2916115828492]	1.0681586122709157	0	0	0	0	0	0.259	1.5	0	0
310	1.0	50.0	[3, 3]	set()	3.992389469395689	3.6685250799602023	3.6355802020845847	0.0	0	[290.79961660947794, 405.16384644433856]	0.9161553940546552	0	0	0	0	0	0.17562499999999998	0.625	0	0
124	1.0	50.0	[3]	set()	4.251550278835169	3.8929323225381287	3.8801305709580958	0.0	0	[987.0094351936132]	0.06933075319148231	0	0	0	0	0	0.00325	0.25	0	0
62	1.0	50.0	[2, 3, 3, 3]	set()	5.729341626305865	4.30845255340079	4.308381601247212	0.0	0	[520.4683888072099, 574.4286135304719, 755.3805648349226, 968.747442661426]	1.2446657900879616	0	0	0	0	0	0.15962500000000002	1.0	0	0
496	1.0	50.0	[3, 3]	set()	4.863766068791916	4.609846952811861	4.594972561977473	0.0	0	[177.41043330170214, 490.72102503851056]	1.014050546871439	0	0	0	0	0	0.25	0.75	0	0
0	1.0	50.0	[3, 2, 3, 3, 2, 3]	set()	6.152040705252993	4.279109434309534	4.660536452401255	0.0	0	[73.3319977298379, 389.7445423181498, 574.6191116049886, 792.7510179579258, 847.3333334550261, 964.0161246061324]	1.7289517704262236	0	0	0	0	0	0.10987499999999999	1.25	0	0
186	1.0	50.0	[3, 2, 2, 3, 2, 2]	set()	8.770842997514283	6.199776510605833	6.780189478909584	0.0	0	[310.2900106459856, 349.22047986980306, 439.64520655572414, 604.7297473996878, 967.2367312014104, 980.1671052486678]	1.505978870160247	0	0	0	0	0	0.21325000000000002	1.375	0	0
248	1.0	50.0	[3, 3, 2, 3, 2, 2, 2]	set()	8.592765226949162	5.415024157929733	5.885348870127205	0.0	0	[83.75080015529824, 108.14938950352372, 379.9203783273697, 536.9230825453997, 807.557631702376, 909.2312276432422, 947.7259527965688]	1.8088438075891073	0	0	0	0	0	0.1385	1.25	0	0
373	1.0	50.0	[3, 2, 3, 3]	set()	5.078627089512688	3.9693622565281714	3.9767161188909492	0.0	0	[150.16591176390648, 548.7174135632813, 749.9698416795582, 763.4147219359875]	1.3729597466195478	0	0	0	0	0	0.148625	1.0	0	0
311	1.0	50.0	[3, 2, 3, 2]	set()	7.879943835217509	4.964095270011107	4.990411386399541	0.0	0	[165.19348695874214, 668.831152646407, 782.8583593677228, 875.8546356111765]	1.3703762580095593	0	0	0	0	0	0.16625	0.875	0	0
187	1.0	50.0	[3]	set()	2.6111130492739596	2.5495318427476423	2.539086507018987	0.0	0	[674.7414900455624]	0.6307698177903205	0	0	0	0	0	0.20925000000000002	0.375	0	0
435	1.0	50.0	[3, 2]	set()	4.099248987614654	3.5020449272504193	3.5090676339109654	0.0	0	[307.3694799095392, 984.5152515918016]	0.6911420579726951	0	0	0	0	0	0.25	0.75	0	0
125	1.0	50.0	[3, 3, 3]	set()	4.7684515708384385	3.8976338659516605	3.7969873851612133	0.0	0	[2.039153498101687, 623.3212298247963, 951.6519440803676]	0.820479908309464	0	0	0	0	0	0.141625	0.875	0	0
63	1.0	50.0	[3, 2]	set()	5.288935195895015	4.789987598043291	4.62265892976856	0.0	0	[493.8650586438209, 883.726560510695]	0.9658521374754723	0	0	0	0	0	0.25175	0.875	0	0
1	1.0	50.0	[3]	set()	4.368295521400962	4.271914047929134	4.186783180698754	0.0	0	[852.1132841706276]	0.41902580101315645	0	0	0	0	0	0.037	0.25	0	0
497	1.0	50.0	[3, 2, 3]	set()	6.854012780715194	5.5568176801677565	5.831482752758942	0.0	0	[63.84267844259739, 719.7358459234238, 920.559018900344]	0.9758712472714142	0	0	0	0	0	0.025750000000000002	0.375	0	0
374	1.0	50.0	[3]	set()	4.536731659410831	4.077939222227906	4.078212756509908	0.0	0	[960.6828559190036]	0.16576788995587727	0	0	0	0	0	0.0	0.0	0	0
498	1.0	50.0	[3, 2]	set()	3.0961544843768345	2.5608926529236276	2.623057030356635	0.0	0	[285.22182116284966, 446.8513503670693]	0.9799039397385034	0	0	0	0	0	0.1425	0.5	0	0
126	1.0	50.0	[2, 2, 3, 2]	set()	6.140057135826409	4.735384839880273	5.059946137476776	0.0	0	[506.5636927928288, 524.152692603845, 786.6530595347285, 919.3260185420512]	1.2377452685546964	0	0	0	0	0	0.27675	1.5	0	0
188	1.0	50.0	[2, 3]	set()	2.791491261857394	2.20252538777563	2.2218715920211203	0.0	0	[314.5411948207766, 848.0869876220822]	0.9852620547080801	0	0	0	0	0	0.14400000000000002	0.5	0	0
312	1.0	50.0	[3, 3, 3]	set()	4.247919739530964	3.220455313082239	3.341180739249232	0.0	0	[55.48920342698693, 871.5397177729756, 974.6647304855288]	0.6537387127806141	0	0	0	0	0	0.125875	0.625	0	0
436	1.0	50.0	[3, 3, 2, 3]	set()	4.490909439115391	3.1796567877740425	3.2340192833313606	0.0	0	[92.64822740524536, 546.9951275736094, 670.7524411873094, 831.0034764221185]	1.4312962359699009	0	0	0	0	0	0.2385	1.625	0	0
249	1.0	50.0	[2, 2, 3, 3, 3, 3, 3, 3]	set()	7.886365445642744	4.568499277708307	4.920033423602051	0.0	0	[246.344284868804, 332.2226858016024, 589.7959024476758, 617.7808860669751, 657.0398033949454, 710.4553628101494, 715.7771427663666, 890.3910838998854]	1.8639302234033917	0	0	0	0	0	0.10450000000000001	1.25	0	0
64	1.0	50.0	[3, 3, 2, 2]	set()	5.856954712940401	4.712022593652828	4.9494172204393445	0.0	0	[226.67312808334827, 315.64089491958566, 414.80968380346894, 675.1602683216333]	1.4964848704179579	0	0	0	0	0	0.113875	0.5	0	0
2	1.0	50.0	[3, 2, 3, 3, 3]	set()	6.43322114560305	5.489028867016579	5.476031835868279	0.0	0	[77.8930416621475, 301.3610405706899, 601.6098037362099, 695.1003888393585, 695.9554835899758]	1.4845151781947725	0	0	0	0	0	0.32287499999999997	2.125	0	0
313	1.0	50.0	[2, 3]	set()	2.7766505194921525	2.440506706807267	2.3649572041186984	0.0	0	[671.6756550595164, 981.2090629711748]	0.7049821190520299	0	0	0	0	0	0.002375	0.125	0	0
499	1.0	50.0	[3, 2]	set()	3.9930226103533513	3.480435590588261	3.511898696406212	0.0	0	[676.4496217947453, 853.8383394479752]	0.8522754888532189	0	0	0	0	0	0.25	0.75	0	0
65	1.0	50.0	[3, 3]	set()	2.519879163988471	1.9390267197781572	2.005794094375425	0.0	0	[390.7574806362391, 764.9570717476308]	1.0753469544712217	0	0	0	0	0	0.29874999999999996	0.875	0	0
189	1.0	50.0	[3, 3, 2, 3, 2]	set()	12.230010101675978	7.767817024988852	9.0048754709933	0.0	0	[313.5436938609928, 478.0907160855983, 684.6903101541102, 770.8147323142009, 927.7844371606944]	1.6780145970034825	0	0	0	0	0	0.08587499999999999	0.625	0	0
437	1.0	50.0	[2, 3, 3]	set()	6.25709393593508	4.9699427022974145	4.896909582286812	0.0	0	[201.8598315771669, 353.5195756703615, 896.5657576918602]	1.175296620494534	0	0	0	0	0	0.16912500000000003	0.75	0	0
250	1.0	50.0	[3, 3, 3, 3]	set()	4.038657066217407	3.406918308086476	3.41263778120517	0.0	0	[216.3096840136549, 425.3641813993454, 457.6821681112051, 746.6959132654836]	1.4758785398839505	0	0	0	0	0	0.202125	1.125	0	0
3	1.0	50.0	[3, 3, 3]	set()	4.49260288328256	3.973022891955194	3.9859801111895288	0.0	0	[372.7448166207572, 726.510550826788, 931.041160965054]	1.2444632224713297	0	0	0	0	0	0.305125	1.25	0	0
127	1.0	50.0	[2, 2, 3, 2, 3]	set()	6.3388766547092255	4.647090587425014	4.674707876597207	0.0	0	[316.07940714177937, 628.5628885962069, 707.9267306253314, 823.8198527457542, 983.1703761592508]	1.539788519142409	0	0	0	0	0	0.125	0.75	0	0
375	1.0	50.0	[2, 2, 3, 3, 3, 3, 3, 3]	set()	8.183595006711206	5.831434541686092	6.183002718129683	0.0	0	[56.668119970709085, 99.51977268792687, 150.19051865329124, 230.75856594368813, 482.41145797419273, 526.9968680140646, 720.3695723916337, 852.5010700717295]	2.005047468882651	0	0	0	0	0	0.40199999999999997	4.0	0	0
314	1.0	50.0	[3, 3]	set()	4.164880665543632	3.260440566094494	3.280113042534298	0.0	0	[480.2682604640722, 694.5520250824699]	1.0445819851447373	0	0	0	0	0	0.12	0.25	0	0
190	1.0	50.0	[3]	set()	3.1966793877832145	2.8351290819491948	2.8941311363998508	0.0	0	[214.9151875637472]	0.5203965271835874	0	0	0	0	0	0.02675	0.125	0	0
