iter	recomb_rate	mut_rate	recomb_type	recomb_node	ARG_length_1	ARG_length_2	ARG_length_3	ARG_length_4	root_height_change	bp	bp_pos_deviation	rank_stat	info_sites_global	confounding_info_sites	consistent_info_sites	weighted_consistent_info_sites	rf_dist	no_neu_recurr_mut	no_adv_recurr_mut	info_sites_imbalance
62	2.0	100.0	[2]	set()	2.619969138770218	2.321582223319204	2.330174857925653	0.0	0	[16.6604439727962]	0.08474070126605987	0	0	0	0	0	0.0	0.0	0	0
248	2.0	100.0	[3, 3, 2, 3]	set()	4.737156901318719	3.6078310783212078	3.5768390532325394	0.0	0	[108.54410007596016, 139.39669355750084, 585.4404778687268, 797.2266206806302]	1.3607513633544301	0	0	0	0	0	0.030875	0.375	0	0
372	2.0	100.0	[2, 3, 3, 2, 3]	set()	6.3126902879058475	4.168675459200604	4.375411917419785	0.0	0	[195.19474916160107, 270.0668442994356, 477.5443617254496, 868.3128021657467, 979.3246124214332]	1.5306687686913505	0	0	0	0	0	0.025875	0.125	0	0
496	2.0	100.0	[3, 3, 3, 3, 3, 3, 3]	set()	5.151112173652676	3.4961539428473336	3.346305547514917	0.0	0	[84.24565475434065, 344.72325444221497, 356.2856267002984, 358.0127388704568, 533.3589809095743, 784.572730306536, 820.6305499188602]	1.701719410607106	0	0	0	0	0	0.293125	2.375	0	0
186	2.0	100.0	[3, 3, 3]	set()	3.7671752976417654	2.9621260258656696	2.9618702393385625	0.0	0	[59.27983578294516, 144.40171979367733, 361.36280971560274]	0.9951082037804369	0	0	0	0	0	0.09	1.25	0	0
0	2.0	100.0	[3, 3, 2, 3, 3, 2, 3]	set()	5.7601709654914375	3.4822770419377482	4.094150581150915	0.0	0	[481.23184964060783, 631.4164874491993, 708.1758245853273, 721.423532393032, 760.9327003121343, 829.3182118795812, 954.2414350435138]	1.6031364129148375	0	0	0	0	0	0.09974999999999999	1.375	0	0
434	2.0	100.0	[3, 2]	set()	3.256242151352062	2.4798381870820885	2.6236228685392353	0.0	0	[881.4998148009181, 979.1072981897742]	0.4191175976498856	0	0	0	0	0	0.0	0.0	0	0
310	2.0	100.0	[2, 3, 2, 3, 3, 2]	set()	3.671665070512162	2.343906422935394	2.461924659464638	0.0	0	[80.61012548249136, 110.307881481271, 264.1327317620836, 796.0223322734237, 953.4255521208004, 972.0275830477476]	1.3963613374563566	0	0	0	0	0	0.20350000000000001	2.125	0	0
187	2.0	100.0	[2, 3]	set()	2.2688680355151534	1.944014778921606	1.9226468406360988	0.0	0	[45.08013837039471, 292.7028078120202]	0.7303014744960279	0	0	0	0	0	0.2865	1.0	0	0
124	2.0	100.0	[2, 3, 3, 3, 2, 2, 2, 3, 3, 2]	set()	7.200436866423717	4.834243440105444	5.179974827905733	0.0	0	[50.58452603407204, 75.07149456068873, 268.0710495915264, 456.9616608405967, 551.916055547933, 559.9302954506129, 588.3029231335968, 875.6957564037293, 945.4388909507544, 961.8988600559532]	1.9735645507814996	0	0	0	0	0	0.32362500000000005	3.75	0	0
