iter	recomb_rate	mut_rate	recomb_type	recomb_node	ARG_length_1	ARG_length_2	ARG_length_3	ARG_length_4	root_height_change	bp	bp_pos_deviation	rank_stat	info_sites_global	confounding_info_sites	consistent_info_sites	weighted_consistent_info_sites	rf_dist	no_neu_recurr_mut	no_adv_recurr_mut	info_sites_imbalance
434	1.0	5.0	[3, 3, 3]	set()	2.8673040958147813	2.0495858893314134	2.172730225646334	0.0	0	[115.80843664705752, 156.7676793783903, 307.5378371872695]	0.9202719154767173	0	0	0	0	0	0.408875	1.875	0	0
0	1.0	5.0	[3, 3]	set()	5.304720175957872	4.280299338576089	4.3106888938283285	0.0	0	[241.5706915780902, 979.1821863036604]	0.6482623441171567	0	0	0	0	0	0.0975	0.375	0	0
248	1.0	5.0	[3]	set()	6.2699007268848534	6.217409292484436	6.2316547486923115	0.0	0	[902.9024355113506]	0.31865846151469995	0	0	0	0	0	0.39949999999999997	1.0	0	0
124	1.0	5.0	[3, 3]	set()	5.304162972281708	4.6076090973757315	4.578600881518039	0.0	0	[105.93362525105476, 527.3808836936951]	0.9561825966457269	0	0	0	0	0	0.375	1.125	0	0
62	1.0	5.0	[3]	set()	3.0205260103654523	2.6331456452227093	2.670023198767029	0.0	0	[846.4647980872542]	0.4287925556286839	0	0	0	0	0	0.2885	0.75	0	0
186	1.0	5.0	[2, 2, 3, 3, 3]	set()	4.266045642468384	3.6358099468976564	3.609596947881051	0.0	0	[106.632296461612, 139.7449143301004, 269.8036013171077, 525.5272886715829, 820.0921907555312]	1.634165766942366	0	0	0	0	0	0.408875	2.25	0	0
372	1.0	5.0	[3, 3, 2]	set()	4.54448395613609	3.472060815355972	3.5376483557350906	0.0	0	[158.6828650906682, 200.07268665358424, 515.8353402776412]	1.139105200946874	0	0	0	0	0	0.16449999999999998	0.75	0	0
496	1.0	5.0	[2]	set()	7.522043196892131	6.788335369197929	6.5237267369360765	0.0	0	[921.584343072027]	0.27488269974065355	0	0	0	0	0	0.0	0.0	0	0
310	1.0	5.0	[3, 2, 2, 2]	set()	5.925676781770405	4.25032960240983	4.526244140437059	0.0	0	[8.199449861422181, 140.0211882675948, 255.17621583293425, 632.3687111726022]	1.2910453396417099	0	0	0	0	0	0.253	1.625	0	0
125	1.0	5.0	[3, 3]	set()	3.616913076131031	3.3007831425152623	3.2736222222885734	0.0	0	[600.6384186912328, 888.5472925366739]	0.9092058242449816	0	0	0	0	0	0.256	1.0	0	0
1	1.0	5.0	[3, 3]	set()	5.4764938603377145	4.806932384929309	4.868628422674898	0.0	0	[326.5681648626924, 973.996128886938]	0.7418370779239709	0	0	0	0	0	0.0135	0.5	0	0
63	1.0	5.0	[3]	set()	4.002247872587095	3.4253312863741594	3.3972931167914164	0.0	0	[577.1758519113064]	0.6811871993595571	0	0	0	0	0	0.375	0.75	0	0
187	1.0	5.0	[2, 3, 3]	set()	4.4800245886067875	4.142424126175287	4.162135386856596	0.0	0	[30.80818941816688, 609.0937410481274, 653.3489478503603]	0.9291644044236052	0	0	0	0	0	0.22824999999999998	1.125	0	0
249	1.0	5.0	[3, 2, 2, 2, 2, 2]	set()	11.371094183058375	7.007103154929197	8.025285436985193	0.0	0	[405.9048751369119, 428.2812414411741, 451.04455947875977, 716.84689540416, 858.5110048342623, 943.714564953702]	1.537933261727675	0	0	0	0	0	0.375	2.625	0	0
497	1.0	5.0	[3, 2, 3, 2]	set()	4.543276266842864	3.4519996224551885	3.5434956116253544	0.0	0	[119.49191382154822, 219.7527155972305, 288.7468050913007, 604.1606110520661]	1.3997204520040032	0	0	0	0	0	0.036000000000000004	0.375	0	0
311	1.0	5.0	[3, 3]	set()	5.708270074314821	5.3424583222482065	5.174507463583907	0.0	0	[173.83121140301228, 302.68092127516866]	0.8195664145504385	0	0	0	0	0	0.11875	0.75	0	0
435	1.0	5.0	[2, 3, 3, 3, 2, 3]	set()	6.368043192325978	4.484413959203429	4.385323419464649	0.0	0	[101.65923732765548, 246.245548594743, 560.5641682324552, 596.8821273076132, 695.1782093075968, 714.1295159961998]	1.6573594522982569	0	0	0	0	0	0.46125000000000005	3.125	0	0
126	1.0	5.0	[3]	set()	4.210207632327705	3.74551071020301	3.7411734446214817	0.0	0	[650.8989157155156]	0.6468883983255993	0	0	0	0	0	0.20625	0.375	0	0
2	1.0	5.0	[3, 3]	set()	4.613625017839538	3.7450011868934925	3.7963531982908982	0.0	0	[428.1118316575885, 879.3723625130951]	0.9774034067714596	0	0	0	0	0	0.14300000000000002	0.5	0	0
64	1.0	5.0	[3]	set()	3.3867043746412384	3.2422264305970687	3.195169875244955	0.0	0	[760.7715255580842]	0.5501889734655989	0	0	0	0	0	0.5	1.0	0	0
373	1.0	5.0	[3, 3, 2, 3, 2]	set()	5.263587109766203	3.7459615367720116	3.786581211740826	0.0	0	[24.257464918576837, 87.13304962044698, 238.2869529537857, 842.4069380853325, 913.8305352222168]	1.2539654805334084	0	0	0	0	0	0.24112499999999998	1.5	0	0
498	1.0	5.0	[3, 3]	set()	3.1908600994294383	2.8748660420052805	2.8802699935814626	0.0	0	[234.98823214322329, 912.8269529247628]	0.816579462409839	0	0	0	0	0	0.30850000000000005	1.0	0	0
127	1.0	5.0	[3, 3]	set()	4.287003028459619	3.645318756387804	3.61811656950711	0.0	0	[537.5700416043401, 545.6216013143571]	0.7309164403116115	0	0	0	0	0	0.29862500000000003	1.125	0	0
3	1.0	5.0	[3]	set()	5.270700264683921	4.614067913745606	4.878149132551691	0.0	0	[99.87425431609154]	0.32480659400720396	0	0	0	0	0	0.612625	1.125	0	0
65	1.0	5.0	[3, 2]	set()	4.280522641866118	3.593446530136502	3.669038713728682	0.0	0	[431.6609520465136, 877.8435448184609]	0.9795543332146512	0	0	0	0	0	0.48275	1.375	0	0
250	1.0	5.0	[3, 3]	set()	4.302913728184601	3.901346186124056	3.892673478239107	0.0	0	[479.7522851731628, 968.7933512032032]	0.8103837488054851	0	0	0	0	0	0.258	1.0	0	0
188	1.0	5.0	[3]	set()	3.3946337745645456	3.3330953532191288	3.3375288749710075	0.0	0	[301.10494093969464]	0.6117976112917077	0	0	0	0	0	0.162625	0.375	0	0
