iter	recomb_rate	mut_rate	recomb_type	recomb_node	ARG_length_1	ARG_length_2	ARG_length_3	ARG_length_4	root_height_change	bp	bp_pos_deviation	rank_stat	info_sites_global	confounding_info_sites	consistent_info_sites	weighted_consistent_info_sites	rf_dist	no_neu_recurr_mut	no_adv_recurr_mut	info_sites_imbalance
310	5.0	25.0	[3]	set()	0.8190177282606754	0.7374926605459315	0.7246138236547852	0.0	0	[875.8507375605404]	0.3751113873554649	0	0	0	0	0	0.125	0.25	0	0
248	5.0	25.0	[2, 3, 3, 2, 2]	set()	2.4372054759317203	1.7463675430086822	1.8729538618216788	0.0	0	[208.52975956104416, 243.20602975785727, 319.3624849769926, 532.7552536036819, 806.7759457044303]	1.6415648453613167	0	0	0	0	0	0.32025	2.125	0	0
186	5.0	25.0	[3, 3]	set()	1.9769691360726376	1.7463969351665667	1.6434765015591675	0.0	0	[30.07912961766124, 321.84345670975745]	0.7281733614392933	0	0	0	0	0	0.33862499999999995	1.0	0	0
496	5.0	25.0	[2, 3, 3, 3, 3, 3]	set()	2.6495974386839394	2.1079526766081904	2.194435391675954	0.0	0	[66.76980014890432, 67.76843452826142, 99.4167149979578, 284.0422000735998, 300.07819119359044, 305.095247354093]	0.9545794015761069	0	0	0	0	0	0.11175000000000002	2.0	0	0
62	5.0	25.0	[3, 3, 3, 3, 3, 3, 3]	set()	3.3325679848156797	2.4161045088053155	2.3890125307419616	0.0	0	[114.9691422469914, 136.32670588950617, 202.3850591658423, 393.6908451691856, 440.0058295577765, 758.8474107906222, 800.1677393913269]	1.786926326929468	0	0	0	0	0	0.41875000000000007	4.0	0	0
311	5.0	25.0	[3, 3]	set()	1.460253512490288	1.3970833434920162	1.3753217574712473	0.0	0	[434.4381913542748, 923.4614710158128]	0.9087132976452719	0	0	0	0	0	0.276125	1.0	0	0
124	5.0	25.0	[3, 3, 3, 3, 3, 3, 3, 3, 3]	set()	3.228854171712155	2.1728963276247053	2.2385612313772882	0.0	0	[110.0959531031549, 235.12703660567095, 345.0086965898352, 529.4983680360019, 580.8897014807343, 608.0674401593775, 723.8415628480456, 880.9349976866145, 915.8406808255236]	2.1736830892119476	0	0	0	0	0	0.5978749999999999	5.875	0	0
0	5.0	25.0	[3, 2, 3, 2, 3, 2, 3]	set()	4.749786766377693	2.726967712298338	3.0770016291908817	0.0	0	[19.5559523999691, 169.49819183852242, 387.7979968674481, 646.7524396157188, 714.6701753033155, 921.0282278146904, 972.6502137226544]	1.80331524530134	0	0	0	0	0	0.21387500000000004	2.0	0	0
434	5.0	25.0	[3, 2, 3, 2, 3, 3, 3]	set()	3.730903976026103	2.6589399455515093	2.7477930628336082	0.0	0	[42.46752734228707, 270.90419178711863, 334.6247486117022, 532.6342403167953, 633.3425515331328, 657.1361399255693, 812.2187076106385]	1.890774137023488	0	0	0	0	0	0.37024999999999997	3.125	0	0
372	5.0	25.0	[3, 2, 3, 3, 2, 3, 3, 3, 3]	set()	5.888142730453293	3.2276133565412954	3.776725961117967	0.0	0	[211.6803796961904, 219.5298344503751, 240.7376317219132, 304.6841241202568, 390.40772861124594, 561.3816054537892, 820.6995774526149, 905.3656450613996, 949.4239950440586]	1.9843879249794008	0	0	0	0	0	0.41937500000000005	4.5	0	0
