iter	recomb_rate	mut_rate	recomb_type	recomb_node	ARG_length_1	ARG_length_2	ARG_length_3	ARG_length_4	root_height_change	bp	bp_pos_deviation	rank_stat	info_sites_global	confounding_info_sites	consistent_info_sites	weighted_consistent_info_sites	rf_dist	no_neu_recurr_mut	no_adv_recurr_mut	info_sites_imbalance
62	5.0	50.0	[3, 2, 3]	set()	1.6728180348505433	1.4370026871594692	1.4021447321648437	0.0	0	[634.685954980604, 675.2336933277547, 765.8609873615205]	0.9760393077034952	0	0	0	0	0	0.325125	1.5	0	0
310	5.0	50.0	[3, 2, 3, 3, 3, 3]	set()	2.9199320239564215	2.0274100190090096	2.070249100271195	0.0	0	[186.82504491880536, 376.895917407692, 438.4297804369186, 635.7919098978243, 895.0461079366505, 946.4554872522776]	1.7801260735822224	0	0	0	0	0	0.453	3.125	0	0
186	5.0	50.0	[2, 3, 3, 3, 3]	set()	4.774446669370323	3.1012482805966988	3.7064763300273125	0.0	0	[153.57027031639524, 160.70923302322626, 308.1065753639471, 430.3224803130661, 505.4289745166898]	1.4047641958142751	0	0	0	0	0	0.247875	2.5	0	0
0	5.0	50.0	[3, 3, 3, 2, 3, 3, 2]	set()	3.610962345169634	2.415160971775224	2.599527279786005	0.0	0	[60.93369238078594, 223.3120817691088, 243.2756815105677, 274.8267529855537, 622.4768037529877, 651.6774799674749, 694.9418485164642]	1.6213907266965646	0	0	0	0	0	0.413875	3.625	0	0
248	5.0	50.0	[3, 3, 3, 2, 2]	set()	3.4449575866976905	2.465567437585308	2.6942096414836443	0.0	0	[337.44002785533667, 406.1404056847096, 445.3258905559778, 605.3003409296583, 738.1363875957852]	1.58972206557224	0	0	0	0	0	0.450625	2.375	0	0
124	5.0	50.0	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]	set()	6.7101392465870155	3.9976197571132044	4.457261719136861	0.0	0	[82.12720742449164, 344.1153054792114, 413.3722994457024, 538.7168414890766, 598.484492529483, 650.611899793148, 766.968809068203, 875.4745757764609, 952.5588313117624, 993.1685123007412]	2.1767839471048234	0	0	0	0	0	0.270375	4.0	0	0
372	5.0	50.0	[3, 3, 3, 3, 2, 3, 3, 3]	set()	4.524626227376997	2.620335956156314	2.9786899910112625	0.0	0	[80.61888325028121, 359.0434909930115, 544.5604650303721, 545.244013890624, 850.9544928858766, 891.536121881511, 895.365476867441, 905.5417088005834]	1.6597250519745328	0	0	0	0	0	0.2615	1.875	0	0
434	5.0	50.0	[3, 3, 3, 3, 2, 3, 3, 3, 2, 3]	set()	5.222708522984642	2.943585462571862	3.272745099049408	0.0	0	[54.775352204076455, 98.6105976756768, 227.6443364729776, 253.2654012921053, 330.00613492913544, 422.7332656867908, 485.4665093589574, 524.7946088202298, 657.218687236309, 845.6513611310029]	2.243408702919615	0	0	0	0	0	0.41975000000000007	4.75	0	0
311	5.0	50.0	[3, 3, 3, 3, 3, 3, 3]	set()	3.9279949719665543	2.4559752142299525	2.77011365958668	0.0	0	[69.87889984571467, 138.90980050409212, 343.38546873722106, 417.0048103374931, 743.6882457695901, 840.5502348583169, 950.6229119538305]	1.87013807719664	0	0	0	0	0	0.321	3.375	0	0
496	5.0	50.0	[2, 2, 2, 2, 3, 3, 3, 3, 3]	set()	3.701566055415996	2.0911880918249883	2.321242418029977	0.0	0	[24.69643446326284, 457.1338898990714, 460.9035295151572, 572.422594643993, 638.8837583363056, 652.8482460416853, 839.945471500981, 870.9673063214749, 921.6996105387808]	1.7314452754385425	0	0	0	0	0	0.13225	1.625	0	0
