iter	recomb_rate	mut_rate	recomb_type	recomb_node	ARG_length_1	ARG_length_2	ARG_length_3	ARG_length_4	root_height_change	bp	bp_pos_deviation	rank_stat	info_sites_global	confounding_info_sites	consistent_info_sites	weighted_consistent_info_sites	rf_dist	no_neu_recurr_mut	no_adv_recurr_mut	info_sites_imbalance
0	5.0	100.0	[3]	set()	1.9541842602160437	1.8504451769941836	1.8867731605260671	0.0	0	[172.58994514122605]	0.45996922615555136	0	0	0	0	0	0.0645	0.375	0	0
186	5.0	100.0	[3, 3]	set()	1.7484018541927873	1.5500942834410487	1.563040067288603	0.0	0	[77.8481736779213, 159.86395487561822]	0.5501991359583103	0	0	0	0	0	0.0295	0.375	0	0
124	5.0	100.0	[3, 2, 3, 3, 3]	set()	2.753401666235119	2.2509259173130722	2.2112286109002697	0.0	0	[51.64724495261908, 295.1517854817212, 713.0170685704798, 740.0690114809439, 836.9336405303329]	1.481173190271737	0	0	0	0	0	0.15925	1.75	0	0
372	5.0	100.0	[3, 2, 3, 3, 3]	set()	3.720140875355873	3.0367930896928232	2.9721584934839624	0.0	0	[33.0156481359154, 401.9352869387478, 402.0221755202198, 745.1708325743665, 787.3823723336034]	1.3111177269252743	0	0	0	0	0	0.204125	1.5	0	0
434	5.0	100.0	[3, 3, 3, 3, 3, 3, 2, 2]	set()	3.796601147124189	2.7257562173521936	2.8257665533652263	0.0	0	[23.559208421040974, 131.61621359176934, 199.63386074424463, 703.1316048590138, 776.7390478402376, 814.2682699771989, 843.5090065780253, 860.91302107598]	1.6204579961231806	0	0	0	0	0	0.23825	4.0	0	0
62	5.0	100.0	[3, 2, 3, 3, 3, 2, 3, 3]	set()	2.762821725738203	1.8134681369911294	1.888981731044077	0.0	0	[170.1116319745779, 255.4379238281399, 407.5108549688249, 451.6204429995424, 580.0305426361447, 783.8511069585322, 844.5680540426871, 944.939957816372]	2.083637801212872	0	0	0	0	0	0.33225	3.125	0	0
496	5.0	100.0	[2, 3, 3, 3, 3, 3, 3, 3, 3]	set()	3.799836094442658	2.2393160095463593	2.588769365437876	0.0	0	[378.6461914273488, 442.5498875789344, 517.7708375681372, 597.1616018378242, 710.0521775598437, 714.7234776057303, 723.0665296456463, 770.7580297691806, 968.5337765361122]	1.8249644121827258	0	0	0	0	0	0.41537500000000005	6.125	0	0
248	5.0	100.0	[3, 3, 3, 2, 3, 3, 3, 2, 3, 3]	set()	5.5043933520169634	3.29376035065941	3.6415151820138743	0.0	0	[13.300722029786272, 183.87508121498817, 216.762762181809, 298.3310252893716, 435.5923525282551, 553.4417140344457, 709.6838838366773, 796.6387695777911, 823.6245798512329, 890.5004877662016]	2.2234440475312374	0	0	0	0	0	0.10037499999999999	1.25	0	0
63	5.0	100.0	[3]	set()	0.7556319583374754	0.698185078063726	0.7029804049821873	0.0	0	[220.23555147461596]	0.527205929385275	0	0	0	0	0	0.0275	0.125	0	0
1	5.0	100.0	[2, 3, 2, 3, 3, 3]	set()	3.3319005554620276	2.382023306734853	2.482985738451693	0.0	0	[11.868244629918934, 36.88102541491389, 121.79841597971794, 151.37007491511838, 612.8280748924666, 778.5415065009147]	1.4470089582955021	0	0	0	0	0	0.237625	2.0	0	0
373	5.0	100.0	[3, 2, 2, 3, 2]	set()	1.7675010899058963	1.2847257216312218	1.3945973842655737	0.0	0	[247.52601911313832, 343.79570224305144, 391.07694598519697, 577.5431618094444, 634.828866774591]	1.5600806265602167	0	0	0	0	0	0.113375	0.875	0	0
187	5.0	100.0	[2, 2, 2, 3, 2]	set()	4.528287265270983	2.991837305484956	3.112917144383851	0.0	0	[32.35191221779381, 192.84455687738955, 510.0944055938545, 519.498695153743, 794.692391064018]	1.4928634957673625	0	0	0	0	0	0.24524999999999997	1.25	0	0
310	5.0	100.0	[3, 3, 3, 3, 3, 2, 3, 2, 3]	set()	4.150502945117872	2.7087690774539195	2.8056392480466634	0.0	0	[35.78445642913124, 204.83112156244053, 209.59808118641376, 318.3328890100299, 357.8230380049383, 617.5431095856659, 669.5466521354987, 904.3774426248152, 956.7129951901734]	1.9484776971664686	0	0	0	0	0	0.35087500000000005	4.0	0	0
125	5.0	100.0	[2, 3, 3, 2, 3, 3]	set()	5.470226471419116	3.7601618224453333	3.7989820377398065	0.0	0	[423.8990365609561, 451.793038328422, 640.8333219587803, 769.0193057060242, 802.9007276672331, 964.2104487866164]	1.570054924545665	0	0	0	0	0	0.22637500000000002	1.625	0	0
497	5.0	100.0	[3, 3, 3]	set()	2.9724223752753804	2.3916732795549516	2.5277859373239515	0.0	0	[662.1893292338917, 672.2327563911676, 900.6271620795225]	0.8858704600039604	0	0	0	0	0	0.14275000000000002	1.125	0	0
435	5.0	100.0	[3, 3, 3, 3, 3, 3, 2, 3]	set()	4.14843787651749	2.407938470660891	2.7958380535119502	0.0	0	[42.04253511999987, 51.213291062955335, 175.94193038530648, 191.9384123393797, 506.1011641093376, 525.515411158583, 719.9084709905748, 768.5587485320866]	1.7464924152092003	0	0	0	0	0	0.354375	3.375	0	0
249	5.0	100.0	[3, 3, 3, 2, 3, 3, 2, 3]	set()	3.9693244601222863	2.410230386712593	2.6157563196405382	0.0	0	[8.694638119630582, 130.6176665239036, 165.71348067373037, 261.5632396725793, 379.32445127174094, 462.5982477820159, 672.6795851196879, 690.6598688371996]	1.8620295008433487	0	0	0	0	0	0.15587499999999999	1.75	0	0
64	5.0	100.0	[3, 2, 3, 3, 3, 3, 3, 2, 3]	set()	4.323405394544261	2.554905477503901	2.9123104251440934	0.0	0	[49.97568976336062, 163.4143041446805, 193.80617248961923, 349.08721572719514, 577.5989349931479, 585.7140778713182, 841.4811859838665, 861.296588787809, 970.367988889562]	1.940799632372567	0	0	0	0	0	0.12825	1.75	0	0
126	5.0	100.0	[3, 2, 3]	set()	2.8742491114702062	2.1812355798065846	2.161964417661964	0.0	0	[188.92261044609864, 530.4789822548628, 644.1087862476707]	1.2965435121325015	0	0	0	0	0	0.0235	0.125	0	0
498	5.0	100.0	[3, 3, 3, 2]	set()	2.629377045190482	1.8972436974225872	2.086386846364292	0.0	0	[50.230308435857296, 96.98705608025192, 793.1881369045524, 901.1657400988042]	1.014631361452753	0	0	0	0	0	0.056624999999999995	0.875	0	0
374	5.0	100.0	[3, 2, 2, 2, 3, 3, 2, 2]	set()	4.575476043983378	2.586169315139341	3.074097440628004	0.0	0	[57.57953692227602, 197.9704133359533, 318.80345220715395, 411.046176647346, 556.9154913537204, 582.9114886000752, 810.3717544749692, 849.0966192999366]	2.0389905166651108	0	0	0	0	0	0.062625	0.625	0	0
2	5.0	100.0	[3, 2, 3, 2, 2, 2, 3, 3]	set()	3.3330039883297777	1.99661697417742	2.05147262562709	0.0	0	[51.754636364190176, 68.38935427367687, 132.1543824547163, 410.4033854823834, 501.5544344205409, 600.6380727885456, 700.4497649580699, 780.1374616101384]	1.9648822129489734	0	0	0	0	0	0.077875	0.75	0	0
250	5.0	100.0	[2, 2, 3, 3, 2, 3, 3]	set()	3.8906754635171374	2.728206640941032	2.8377228657212124	0.0	0	[185.74119126424196, 304.9524314701557, 323.3934900424479, 651.0539702309025, 658.8802044449103, 794.579337642925, 812.6275432963765]	1.700693016778549	0	0	0	0	0	0.19275000000000003	2.0	0	0
436	5.0	100.0	[2, 3, 3, 2, 3, 3, 3, 3, 3]	set()	4.241508972403679	2.5450193550162874	2.849365243225658	0.0	0	[99.22173984350238, 275.5125731889457, 535.3523591394182, 536.0839481040795, 558.1728149502345, 647.4857258600152, 707.8376499942013, 893.2196605346327, 949.2539141792804]	1.9852663636507715	0	0	0	0	0	0.17625	2.0	0	0
188	5.0	100.0	[3, 3, 3, 3, 3, 3, 3, 3, 3]	set()	4.196657608808408	2.637350272333201	2.861581023557744	0.0	0	[324.15149081498384, 336.8156020911613, 337.1198426466435, 349.62391622029367, 509.8666154412008, 513.6198137281515, 541.4953858082962, 661.7192423553674, 762.4471658786916]	1.7192612412089308	0	0	0	0	0	0.27749999999999997	2.875	0	0
311	5.0	100.0	[3, 3, 3, 3, 2, 3, 2, 3, 3, 3]	set()	6.829214507095459	4.394429181550478	4.753279230840633	0.0	0	[166.5279558495168, 206.5020324662328, 257.291816174984, 260.08811855413524, 339.93584470798623, 458.3141338080168, 515.1984298817717, 562.3047696426511, 642.3391003172327, 717.4018724359297]	2.1100478102634166	0	0	0	0	0	0.23637499999999997	2.875	0	0
65	5.0	100.0	[3, 3, 3, 3, 3]	set()	4.198964013821256	2.5242549943718187	2.7652299561883105	0.0	0	[698.23788968841, 755.7077701203525, 805.1259509018145, 928.6856642016006, 979.2463998549216]	1.0532789510946898	0	0	0	0	0	0.362375	2.0	0	0
127	5.0	100.0	[3, 3, 2, 3, 2, 3]	set()	3.2437109759783986	2.284672041724318	2.3427007177075	0.0	0	[91.48684050887825, 130.93862355844266, 310.50722435954367, 394.6712454780936, 611.0887326399655, 808.1763547977484]	1.8310542803931478	0	0	0	0	0	0.18925000000000003	1.75	0	0
499	5.0	100.0	[2, 3, 2, 3, 2, 3]	set()	3.4566213505470147	2.19711731339054	2.4892518502300147	0.0	0	[46.08146235410526, 213.0205184221268, 312.8514833191371, 755.4439399391413, 784.2495985513341, 977.2562888701402]	1.5371793672692817	0	0	0	0	0	0.17825	1.375	0	0
375	5.0	100.0	[3, 3, 3, 3, 3, 3, 2, 3, 3]	set()	3.5414825814459254	1.7988090808601134	2.1476718669067694	0.0	0	[41.21275343798132, 286.56804258935153, 344.9914879648148, 353.8264692761004, 630.7599116116762, 657.2366509414625, 864.1536658675365, 915.5766652141878, 924.666113452986]	1.8517137250703561	0	0	0	0	0	0.212	2.25	0	0
251	5.0	100.0	[3, 3, 3, 3]	set()	3.7196993519679946	2.559343678318271	2.936491395528093	0.0	0	[64.61310759186745, 760.0319183643358, 819.7710169479251, 871.3334648690768]	1.0146481509864165	0	0	0	0	0	0.200875	1.5	0	0
312	5.0	100.0	[2, 3, 3]	set()	3.334673230818157	2.6419707988785333	2.634334985047129	0.0	0	[233.35938691161573, 561.4664033055305, 688.7707905843854]	1.330897653875673	0	0	0	0	0	0.078	0.25	0	0
437	5.0	100.0	[3, 2, 3, 3, 3, 3]	set()	3.861519390853746	2.750930477290485	2.807671899856414	0.0	0	[170.6610769033432, 421.37696663849056, 436.3731226165928, 570.5138776771541, 606.8508493428893, 952.0486787385848]	1.6143198142511883	0	0	0	0	0	0.24325000000000002	1.5	0	0
3	5.0	100.0	[3, 3, 3, 3, 3, 2, 3, 3, 3]	set()	4.3577378999056124	2.831206807082814	2.7060991287760867	0.0	0	[1.9571129232645037, 8.4418929181993, 433.5499453255011, 573.4404493075374, 603.6601294763386, 629.6248673461378, 675.4331528157877, 804.9297509714961, 848.2532254420221]	1.7122783408300148	0	0	0	0	0	0.40337500000000004	4.625	0	0
66	5.0	100.0	[3, 3, 3, 3]	set()	4.471219042577364	3.2014223414876	3.265088190491534	0.0	0	[97.52637357451022, 511.40209357254207, 919.18298532255, 941.7299422654786]	1.2090560755485544	0	0	0	0	0	0.303125	2.0	0	0
189	5.0	100.0	[2, 3, 2, 3, 3, 2, 2, 2]	set()	4.144643891571624	2.4219118087816516	2.678814758136252	0.0	0	[10.983236134052277, 325.0365054700524, 365.9083111563433, 401.4260483026224, 454.2016811351182, 466.8062732541607, 500.6586940027009, 680.4048346821219]	1.6605512120145838	0	0	0	0	0	0.212875	1.75	0	0
128	5.0	100.0	[2, 3, 3, 3, 3, 3]	set()	2.3569171043129087	1.6408917355441768	1.6965152840331827	0.0	0	[112.58006495955487, 181.426681066324, 348.21086656302214, 843.264936003834, 874.3832795880735, 915.0264072231948]	1.524547649757483	0	0	0	0	0	0.229	2.5	0	0
376	5.0	100.0	[3, 3, 3, 3, 3, 3, 3]	set()	5.348046524201047	3.231348044617299	3.471534711809582	0.0	0	[191.45756934631208, 286.0395982861519, 291.2577739446709, 526.1609391309321, 642.5108077566581, 726.4011140424606, 840.3536256375301]	1.9058564508459672	0	0	0	0	0	0.334875	2.5	0	0
313	5.0	100.0	[3, 3, 3, 3, 2, 3, 3]	set()	3.090390699105938	1.9729404108792004	2.0871514116781955	0.0	0	[92.65614030279856, 259.80289466679096, 629.9215285107493, 749.5038863104919, 924.2908088041268, 979.26508449018, 993.1517839431764]	1.6991140507708262	0	0	0	0	0	0.33299999999999996	2.75	0	0
252	5.0	100.0	[3, 3, 3, 2, 2]	set()	4.401808416114156	3.2464184937252916	3.426754088193509	0.0	0	[127.29013338685036, 208.43699458624485, 335.8071440368473, 519.1003343963853, 522.9666642844677]	1.4141997989155821	0	0	0	0	0	0.03175	0.25	0	0
438	5.0	100.0	[3, 3]	set()	2.913820626813245	2.556805142929062	2.4141487182770014	0.0	0	[126.34957605041564, 515.0944057386369]	0.979653503765886	0	0	0	0	0	0.076375	0.25	0	0
4	5.0	100.0	[2, 3, 2, 3, 3, 3, 3]	set()	3.159115244434462	1.8619360145712127	1.9140318910269882	0.0	0	[35.86251041986337, 487.3363487422466, 522.7287479437599, 686.0143790853521, 716.1648165696114, 718.7593299657223, 951.413663868728]	1.4997761326768408	0	0	0	0	0	0.170625	1.75	0	0
129	5.0	100.0	[2, 3]	set()	2.0847641911245764	1.8329081470652338	1.8114425824956193	0.0	0	[106.58620530739428, 202.2876776754856]	0.6434796581884215	0	0	0	0	0	0.0	0.0	0	0
190	5.0	100.0	[3, 3]	set()	2.6202345707215735	2.192005864873496	2.1515682703689047	0.0	0	[212.2175139375031, 747.9779028260033]	1.010665213725532	0	0	0	0	0	0.15150000000000002	0.5	0	0
253	5.0	100.0	[3, 3]	set()	0.7285287049369586	0.6517009031348496	0.6462226506648042	0.0	0	[246.2544999962169, 730.5750846862793]	1.049576424835229	0	0	0	0	0	0.244	0.75	0	0
