iter	recomb_rate	mut_rate	recomb_type	recomb_node	ARG_length_1	ARG_length_2	ARG_length_3	ARG_length_4	root_height_change	bp	bp_pos_deviation	rank_stat	info_sites_global	confounding_info_sites	consistent_info_sites	weighted_consistent_info_sites	rf_dist	no_neu_recurr_mut	no_adv_recurr_mut	info_sites_imbalance
248	5.0	75.0	[3]	set()	1.2584862966301884	1.1444057517995503	1.1538813056796937	0.0	0	[321.1934706196189]	0.6277657913070088	0	0	0	0	0	0.040125	0.125	0	0
496	5.0	75.0	[3, 3, 2]	set()	2.053275548694553	1.6806395501576656	1.7234668131185729	0.0	0	[89.73798016086221, 280.47096636146307, 885.3291298728436]	1.0848083783631322	0	0	0	0	0	0.11224999999999999	0.5	0	0
372	5.0	75.0	[3, 2]	set()	1.6258449847037588	1.2874322660052917	1.3038234287754733	0.0	0	[33.09107827953994, 714.7971005178988]	0.731793495874054	0	0	0	0	0	0.125	0.375	0	0
310	5.0	75.0	[3, 3]	set()	1.5522725993411715	1.3267708508585783	1.3660858998466276	0.0	0	[468.2302316650748, 851.2913305312395]	1.006265181607989	0	0	0	0	0	0.266	1.0	0	0
62	5.0	75.0	[3, 3, 3, 3, 3, 3]	set()	4.078173431892665	2.6736700569930454	2.849859656649474	0.0	0	[22.39869651384652, 36.01288376376033, 453.5463642976591, 582.183609283787, 884.8328485164593, 898.066409360872]	1.4237704647784066	0	0	0	0	0	0.183	2.375	0	0
434	5.0	75.0	[3, 2, 2, 3, 3]	set()	3.242695303866476	2.7779493792941303	2.6594748517151574	0.0	0	[177.3093724483262, 242.3754859866232, 409.0916441771146, 704.6462679281831, 898.4437647275705]	1.6937054438176833	0	0	0	0	0	0.182875	1.25	0	0
124	5.0	75.0	[2, 3, 3, 3, 2, 2, 2, 3]	set()	3.2210377821682807	2.008195440107417	2.2437234860730033	0.0	0	[85.30902062898178, 96.87347893195088, 254.50921545089557, 269.2768557100788, 415.0299566950361, 795.4076459886103, 875.7507353977111, 934.7455548122524]	1.8110694210617324	0	0	0	0	0	0.27475	2.625	0	0
249	5.0	75.0	[3, 3, 3, 3]	set()	3.3026458024485112	2.5405459810976785	2.6630819679624658	0.0	0	[15.786734875291586, 121.37971382440185, 851.2902278959871, 858.5437202524112]	0.8450709082146053	0	0	0	0	0	0.151875	1.125	0	0
186	5.0	75.0	[3, 3, 3, 3, 3, 3, 2, 2]	set()	4.559278258891774	3.0445853869641057	3.1373251203873807	0.0	0	[101.08784632757306, 380.5551650002599, 388.3357280865312, 566.6020195931196, 668.1322706266627, 681.1514527851507, 728.6698091775179, 989.0296532241172]	1.7665537400983389	0	0	0	0	0	0.37762500000000004	3.5	0	0
0	5.0	75.0	[2, 2, 3, 3, 3, 3, 2, 3]	set()	4.223138148079803	2.793337531168898	2.988915977267201	0.0	0	[3.6833896845941183, 293.3970532454064, 294.3355022563807, 302.9002253897488, 458.8873997743278, 580.8792171725653, 628.3832898080968, 888.4329916746588]	1.7130151128714621	0	0	0	0	0	0.35225	3.0	0	0
